region;a;b;c;d;unidad_duracion;descripcion;origen;validado
andina;0.94;0.18;0.66;0.83;horas;Region Andina;Vargas y Diaz-Granados (1998), regionalizacion de curvas IDF para Colombia, recogida en el Manual de Drenaje para Carreteras del INVIAS;no
caribe;24.85;0.22;0.50;0.10;horas;Region Caribe;Vargas y Diaz-Granados (1998), regionalizacion de curvas IDF para Colombia, recogida en el Manual de Drenaje para Carreteras del INVIAS;no
pacifica;13.92;0.19;0.58;0.20;horas;Region Pacifica;Vargas y Diaz-Granados (1998), regionalizacion de curvas IDF para Colombia, recogida en el Manual de Drenaje para Carreteras del INVIAS;no
orinoquia;5.53;0.17;0.63;0.42;horas;Region Orinoquia;Vargas y Diaz-Granados (1998), regionalizacion de curvas IDF para Colombia, recogida en el Manual de Drenaje para Carreteras del INVIAS;no
amazonia;2.66;0.19;0.57;0.63;horas;Region Amazonia;Vargas y Diaz-Granados (1998), regionalizacion de curvas IDF para Colombia, recogida en el Manual de Drenaje para Carreteras del INVIAS;no
